Economy_Label,2011_Number_of_ships_Value,2011_Number_of_ships_Footnote,2011_Number_of_ships_MissingValue,2012_Number_of_ships_Value,2012_Number_of_ships_Footnote,2012_Number_of_ships_MissingValue,2013_Number_of_ships_Value,2013_Number_of_ships_Footnote,2013_Number_of_ships_MissingValue,2014_Number_of_ships_Value,2014_Number_of_ships_Footnote,2014_Number_of_ships_MissingValue,2015_Number_of_ships_Value,2015_Number_of_ships_Footnote,2015_Number_of_ships_MissingValue,2016_Number_of_ships_Value,2016_Number_of_ships_Footnote,2016_Number_of_ships_MissingValue,2017_Number_of_ships_Value,2017_Number_of_ships_Footnote,2017_Number_of_ships_MissingValue,2018_Number_of_ships_Value,2018_Number_of_ships_Footnote,2018_Number_of_ships_MissingValue,2019_Number_of_ships_Value,2019_Number_of_ships_Footnote,2019_Number_of_ships_MissingValue,2020_Number_of_ships_Value,2020_Number_of_ships_Footnote,2020_Number_of_ships_MissingValue,2021_Number_of_ships_Value,2021_Number_of_ships_Footnote,2021_Number_of_ships_MissingValue,2022_Number_of_ships_Value,2022_Number_of_ships_Footnote,2022_Number_of_ships_MissingValue,2023_Number_of_ships_Value,2023_Number_of_ships_Footnote,2023_Number_of_ships_MissingValue,2024_Number_of_ships_Value,2024_Number_of_ships_Footnote,2024_Number_of_ships_MissingValue,2025_Number_of_ships_Value,2025_Number_of_ships_Footnote,2025_Number_of_ships_MissingValue
"World",83283,,,84709,,,86667,,,87949,,,90470,,,92095,,,93518,,,95650,,,97133,,,100148,,,102172,,,104827,,,107745,,,109898,,,112495,,
"Africa",5525,,,5639,,,5987,,,6056,,,6250,,,6406,,,6646,,,6881,,,7183,,,7607,,,8043,,,8532,,,9325,,,9973,,,10620,,
"Northern Africa",731,,,738,,,738,,,740,,,769,,,768,,,763,,,764,,,775,,,784,,,811,,,829,,,838,,,836,,,849,,
"Sub-Saharan Africa",4794,,,4901,,,5249,,,5316,,,5481,,,5638,,,5883,,,6117,,,6408,,,6823,,,7232,,,7703,,,8487,,,9137,,,9771,,
"Eastern Africa",699,,,634,,,706,,,664,,,681,,,696,,,728,,,797,,,755,,,765,,,798,,,805,,,910,,,1007,,,1197,,
"Middle Africa",150,,,136,,,149,,,165,,,205,,,208,,,237,,,204,,,208,,,251,,,330,,,379,,,483,,,622,,,569,,
"Southern Africa",73,,,75,,,77,,,77,,,79,,,85,,,105,,,115,,,116,,,118,,,122,,,125,,,125,,,124,,,146,,
"Western Africa",3872,,,4056,,,4317,,,4410,,,4516,,,4649,,,4813,,,5001,,,5329,,,5689,,,5982,,,6394,,,6969,,,7384,,,7859,,
"Americas",21020,,,20846,,,20808,,,20546,,,20459,,,20562,,,20499,,,20388,,,20314,,,20458,,,20439,,,20453,,,20666,,,20994,,,21718,,
"Northern America",4247,,,4282,,,4296,,,4273,,,4330,,,4372,,,4423,,,4466,,,4453,,,4478,,,4396,,,4337,,,4357,,,4348,,,4356,,
"Latin America and the Caribbean",16773,,,16564,,,16512,,,16273,,,16129,,,16190,,,16076,,,15922,,,15861,,,15980,,,16043,,,16116,,,16309,,,16646,,,17362,,
"Caribbean",4739,,,4751,,,4632,,,4445,,,4333,,,4306,,,4142,,,3996,,,3911,,,3822,,,3820,,,3845,,,3867,,,3964,,,4366,,
"Central America",10384,,,10187,,,10193,,,10039,,,9916,,,9954,,,9855,,,9743,,,9754,,,9891,,,9938,,,9955,,,10122,,,10341,,,10576,,
"South America",1650,,,1626,,,1687,,,1789,,,1880,,,1930,,,2079,,,2183,,,2196,,,2267,,,2285,,,2316,,,2320,,,2341,,,2420,,
"Asia",35108,,,35918,,,37498,,,38559,,,39845,,,40564,,,41851,,,43753,,,44802,,,46761,,,48028,,,49933,,,51550,,,52468,,,53323,,
"Central Asia",148,,,153,,,165,,,173,,,189,,,193,,,192,,,194,,,193,,,194,,,192,,,190,,,191,,,197,,,199,,
"Eastern Asia",13140,,,13230,,,13756,,,14195,,,14507,,,14717,,,14819,,,16206,,,16918,,,17897,,,18441,,,19841,,,20902,,,21230,,,21272,,
"South-eastern Asia",15071,,,15761,,,16505,,,17093,,,17888,,,18280,,,19352,,,19741,,,20106,,,20817,,,21524,,,21987,,,22389,,,22877,,,23545,,
"Southern Asia",2349,,,2366,,,2671,,,2755,,,2812,,,2874,,,3001,,,3093,,,3141,,,3382,,,3465,,,3531,,,3653,,,3742,,,3808,,
"Western Asia",4400,,,4408,,,4401,,,4343,,,4449,,,4500,,,4487,,,4519,,,4444,,,4471,,,4406,,,4384,,,4415,,,4422,,,4499,,
"Europe",17105,,,17611,,,17325,,,17240,,,17342,,,17543,,,17548,,,17608,,,17619,,,17754,,,17849,,,17713,,,17373,,,17370,,,17694,,
"Eastern Europe",3433,,,3399,,,3413,,,3462,,,3487,,,3508,,,3539,,,3571,,,3660,,,3707,,,3796,,,3801,,,3727,,,3745,,,3798,,
"Northern Europe",4881,,,5009,,,4910,,,4813,,,4800,,,4823,,,4659,,,4682,,,4699,,,4688,,,4723,,,4697,,,4583,,,4570,,,4557,,
"Southern Europe",6024,,,6241,,,6110,,,6105,,,6237,,,6419,,,6562,,,6600,,,6551,,,6650,,,6584,,,6504,,,6401,,,6375,,,6623,,
"Western Europe",2767,,,2962,,,2892,,,2860,,,2818,,,2793,,,2788,,,2755,,,2709,,,2709,,,2746,,,2711,,,2662,,,2680,,,2716,,
"Oceania",3368,,,3554,,,3880,,,4167,,,4650,,,5050,,,5455,,,5738,,,5783,,,5976,,,6112,,,6432,,,6770,,,7000,,,6968,,
"Australia and New Zealand",574,,,582,,,616,,,618,,,639,,,646,,,662,,,674,,,683,,,697,,,714,,,723,,,735,,,743,,,751,,
"Oceania excluding Australia and New Zealand",2794,,,2972,,,3264,,,3549,,,4011,,,4404,,,4793,,,5064,,,5100,,,5279,,,5398,,,5709,,,6035,,,6257,,,6217,,
"World n.e.s.",1157,,,1141,,,1169,,,1381,,,1924,,,1970,,,1519,,,1282,,,1432,,,1592,,,1701,,,1764,,,2061,,,2093,,,2172,,
"Afghanistan",1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albania",68,,,66,,,67,,,59,,,58,,,58,,,61,,,67,,,67,,,68,,,70,,,69,,,70,,,70,,,70,,
"Algeria",104,,,111,,,112,,,111,,,116,,,111,,,111,,,104,,,114,,,114,,,114,,,118,,,118,,,118,,,118,,
"Angola",49,,,43,,,44,,,49,,,52,,,55,,,55,,,55,,,54,,,54,,,61,,,64,,,63,,,63,,,66,,
"Anguilla",2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,
"Antigua and Barbuda",1193,,,1295,,,1276,,,1207,,,1140,,,1050,,,956,,,843,,,774,,,718,,,673,,,638,,,615,,,631,,,676,,
"Argentina",153,,,143,,,149,,,150,,,159,,,160,,,183,,,189,,,191,,,200,,,204,,,200,,,199,,,199,,,197,,
"Aruba",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,
"Australia",481,,,491,,,526,,,524,,,539,,,545,,,551,,,564,,,574,,,583,,,600,,,607,,,613,,,623,,,631,,
"Austria",1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
"Azerbaijan",297,,,295,,,305,,,301,,,307,,,302,,,294,,,297,,,302,,,303,,,305,,,309,,,313,,,319,,,320,,
"Bahamas",1407,,,1431,,,1426,,,1389,,,1390,,,1440,,,1412,,,1385,,,1399,,,1372,,,1329,,,1309,,,1269,,,1258,,,1251,,
"Bahrain",213,,,217,,,235,,,243,,,249,,,259,,,260,,,257,,,256,,,235,,,210,,,191,,,175,,,163,,,159,,
"Bangladesh",274,,,248,,,253,,,270,,,297,,,304,,,336,,,356,,,378,,,434,,,482,,,531,,,567,,,596,,,611,,
"Barbados",126,,,133,,,136,,,127,,,113,,,114,,,109,,,120,,,130,,,146,,,167,,,197,,,276,,,341,,,491,,
"Belarus",7,,,6,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,
"Belgium",192,,,209,,,201,,,190,,,188,,,186,,,194,,,198,,,193,,,198,,,204,,,199,,,189,,,183,,,184,,
"Belize",860,,,748,,,732,,,722,,,734,,,735,,,750,,,756,,,779,,,789,,,777,,,781,,,748,,,799,,,769,,
"Benin",4,,,5,,,5,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,7,,,6,,,11,,,11,,
"Bermuda",166,,,165,,,168,,,156,,,153,,,153,,,158,,,157,,,150,,,140,,,147,,,136,,,122,,,109,,,114,,
"Bolivia (Plurinational State of)",97,,,75,,,73,,,58,,,59,,,59,,,47,,,42,,,42,,,43,,,44,,,48,,,51,,,50,,,54,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Brazil",575,,,602,,,628,,,665,,,692,,,731,,,777,,,841,,,864,,,877,,,863,,,869,,,888,,,900,,,926,,
"British Virgin Islands",20,,,17,,,16,,,18,,,20,,,20,,,20,,,25,,,28,,,30,,,29,,,30,,,30,,,29,,,25,,
"Brunei Darussalam",82,,,82,,,81,,,81,,,97,,,100,,,106,,,96,,,94,,,93,,,96,,,95,,,95,,,96,,,96,,
"Bulgaria",109,,,101,,,89,,,82,,,83,,,81,,,84,,,81,,,83,,,81,,,80,,,81,,,77,,,77,,,76,,
"Cabo Verde",38,,,39,,,39,,,42,,,42,,,42,,,43,,,41,,,43,,,45,,,45,,,45,,,42,,,41,,,42,,
"Cambodia",836,,,754,,,758,,,699,,,606,,,591,,,321,,,270,,,254,,,247,,,200,,,199,,,187,,,183,,,183,,
"Cameroon",16,,,15,,,14,,,13,,,18,,,18,,,27,,,28,,,33,,,64,,,101,,,130,,,218,,,307,,,240,,
"Canada",646,,,637,,,643,,,643,,,647,,,645,,,643,,,661,,,663,,,698,,,698,,,697,,,713,,,714,,,711,,
"Cayman Islands",163,,,172,,,164,,,156,,,163,,,154,,,161,,,165,,,169,,,166,,,162,,,146,,,137,,,124,,,116,,
"Chile",172,,,179,,,182,,,188,,,193,,,196,,,219,,,222,,,221,,,237,,,243,,,241,,,246,,,243,,,242,,
"China",3501,,,3512,,,3774,,,3997,,,4177,,,4181,,,4481,,,5838,,,6286,,,6708,,,7461,,,8794,,,9977,,,10305,,,10288,,
"China, Hong Kong SAR",1737,,,1975,,,2227,,,2342,,,2405,,,2518,,,2563,,,2619,,,2706,,,2701,,,2722,,,2665,,,2533,,,2483,,,2513,,
"China, Macao SAR",1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,6,,,7,,,7,,,7,,
"China, Taiwan Province of",327,,,325,,,333,,,338,,,350,,,356,,,353,,,367,,,399,,,422,,,437,,,451,,,463,,,468,,,460,,
"Colombia",94,,,85,,,91,,,104,,,103,,,102,,,108,,,114,,,121,,,146,,,147,,,149,,,152,,,154,,,156,,
"Comoros",312,,,264,,,240,,,190,,,187,,,199,,,197,,,214,,,212,,,234,,,244,,,252,,,282,,,294,,,432,,
"Congo",19,,,5,,,6,,,8,,,24,,,25,,,30,,,12,,,11,,,11,,,12,,,11,,,11,,,11,,,10,,
"Cook Islands",116,,,110,,,140,,,174,,,181,,,205,,,227,,,218,,,198,,,201,,,191,,,187,,,179,,,196,,,175,,
"Costa Rica",9,,,10,,,10,,,10,,,10,,,10,,,11,,,10,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,
"Cote d'Ivoire",9,,,9,,,9,,,9,,,9,,,9,,,11,,,25,,,25,,,25,,,25,,,25,,,25,,,26,,,26,,
"Croatia",260,,,271,,,263,,,269,,,275,,,272,,,313,,,319,,,339,,,354,,,363,,,380,,,381,,,389,,,397,,
"Cuba",41,,,35,,,35,,,36,,,42,,,42,,,47,,,49,,,52,,,56,,,61,,,63,,,66,,,66,,,68,,
"Curacao",133,,,129,,,122,,,112,,,104,,,94,,,90,,,80,,,73,,,64,,,62,,,58,,,53,,,49,,,75,,
"Cyprus",972,,,1024,,,1023,,,1042,,,1049,,,1028,,,1005,,,1015,,,1029,,,1059,,,1053,,,1033,,,1012,,,997,,,1032,,
"Czechia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Czechoslovakia",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Dem. People's Rep. of Korea",292,,,273,,,267,,,239,,,233,,,235,,,238,,,265,,,266,,,265,,,260,,,264,,,274,,,284,,,289,,
"Dem. Rep. of the Congo",,,,3,,,12,,,18,,,26,,,26,,,41,,,21,,,22,,,22,,,22,,,24,,,24,,,25,,,25,,
"Democratic Republic of Germany",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Denmark",637,,,630,,,638,,,634,,,653,,,666,,,648,,,648,,,675,,,692,,,719,,,729,,,714,,,702,,,686,,
"Djibouti",12,,,15,,,15,,,15,,,18,,,18,,,20,,,16,,,20,,,22,,,36,,,42,,,37,,,37,,,42,,
"Dominica",123,,,114,,,98,,,75,,,70,,,67,,,82,,,104,,,107,,,97,,,93,,,85,,,72,,,69,,,74,,
"Dominican Republic",28,,,24,,,24,,,24,,,24,,,23,,,27,,,35,,,37,,,38,,,40,,,37,,,36,,,41,,,41,,
"Ecuador",78,,,78,,,83,,,131,,,132,,,134,,,139,,,139,,,137,,,147,,,151,,,153,,,149,,,150,,,153,,
"Egypt",377,,,383,,,380,,,384,,,394,,,399,,,385,,,390,,,397,,,403,,,423,,,437,,,442,,,444,,,453,,
"El Salvador",2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,5,,,5,,,6,,
"Equatorial Guinea",25,,,32,,,35,,,37,,,40,,,39,,,40,,,39,,,41,,,43,,,44,,,47,,,52,,,47,,,40,,
"Eritrea",9,,,9,,,10,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,10,,
"Estonia",79,,,84,,,76,,,72,,,72,,,76,,,71,,,68,,,65,,,67,,,68,,,70,,,71,,,68,,,69,,
"Eswatini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
"Ethiopia",8,,,8,,,10,,,17,,,17,,,13,,,11,,,11,,,11,,,11,,,12,,,12,,,12,,,11,,,11,,
"Ethiopia (...1991)",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Falkland Islands (Malvinas)",3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,
"Faroe Islands",72,,,73,,,95,,,97,,,95,,,98,,,101,,,102,,,105,,,100,,,101,,,93,,,88,,,92,,,91,,
"Federal Republic of Germany",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Fiji",39,,,39,,,38,,,40,,,46,,,47,,,76,,,64,,,69,,,73,,,74,,,75,,,79,,,80,,,83,,
"Finland",272,,,261,,,275,,,267,,,264,,,265,,,267,,,264,,,271,,,280,,,282,,,285,,,281,,,283,,,279,,
"France",532,"Break",,547,,,540,,,533,,,530,,,545,,,525,,,514,,,517,,,528,,,543,,,534,,,530,,,550,,,559,,
"French Polynesia",16,,,16,,,16,,,18,,,17,,,18,,,17,,,23,,,25,,,24,,,23,,,26,,,25,,,25,,,28,,
"French Southern Territories",,,,,,,,,,,,,,,,,,,4,,,4,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,
"Gabon",23,,,24,,,24,,,24,,,27,,,27,,,28,,,31,,,30,,,41,,,69,,,78,,,89,,,127,,,119,,
"Gambia",10,,,9,,,8,,,8,,,8,,,8,,,7,,,9,,,8,,,8,,,8,,,9,,,16,,,14,,,37,,
"Georgia",215,,,164,,,116,,,91,,,87,,,85,,,79,,,77,,,23,,,24,,,25,,,24,,,26,,,26,,,28,,
"Germany",774,,,809,,,745,,,670,,,639,,,615,,,627,,,630,,,613,,,612,,,623,,,611,,,589,,,590,,,602,,
"Ghana",42,,,43,,,42,,,44,,,45,,,44,,,47,,,50,,,49,,,51,,,51,,,51,,,50,,,51,,,51,,
"Gibraltar",276,,,296,,,304,,,312,,,305,,,300,,,280,,,246,,,232,,,219,,,202,,,156,,,126,,,107,,,96,,
"Greece",1543,,,1541,,,1483,,,1421,,,1400,,,1377,,,1344,,,1327,,,1282,,,1307,,,1261,,,1234,,,1211,,,1208,,,1203,,
"Greenland",8,,,8,,,9,,,7,,,8,,,8,,,9,,,9,,,8,,,8,,,11,,,12,,,12,,,12,,,12,,
"Grenada",6,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,6,,
"Guam",3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,
"Guatemala",6,,,6,,,7,,,7,,,8,,,8,,,9,,,8,,,8,,,9,,,9,,,9,,,10,,,10,,,13,,
"Guinea",1,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,2,,,4,,,30,,
"Guinea-Bissau",8,,,9,,,9,,,9,,,9,,,9,,,8,,,8,,,8,,,8,,,8,,,8,,,21,,,45,,,74,,
"Guyana",50,,,49,,,52,,,53,,,53,,,53,,,58,,,58,,,54,,,56,,,58,,,93,,,83,,,84,,,123,,
"Haiti",3,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,2,,,2,,
